Album,Artist,Number of Songs
11:11,Chris Brown,4
1432,Katy Perry,12
4X4,Travis Scott,6
A Great Chaos (Deluxe),Ken Carson,4
A Philly Special Christmas Special,The Philly Specials,8
ALL RED,Playboi Carti,3
ASTROWORLD,Travis Scott,7
After Hours,The Weeknd,12
After Hours (Deluxe),The Weeknd,17
Alone At Prom,Tory Lanez,3
Alone at Prom (Deluxe),Tory Lanez,16
Bad Blood,Bastille,1
Beauty Behind The Madness,The Weeknd,15
Believe (Deluxe Edition),Justin Bieber,8
Birds In The Trap Sing McKnight,Travis Scott,3
Black Panther The Album Music From And Inspired By,"Kendrick Lamar, SZA",8
Blonde,Frank Ocean,11
Brand New,Ben Rector,4
Breakaway,Kelly Clarkson,2
CHROMAKOPIA,"Tyler, The Creator",8
COYOTE,Tommy Richman,4
Camp,Childish Gambino,4
Ctrl (Deluxe),SZA,4
DAYS BEFORE RODEO,Travis Scott,10
DIE FOR MY BITCH,Baby Keem,15
DOOR TO DUSK,Odetari,1
Dancing In The Flames,The Weeknd,6
Dawn FM,The Weeknd,1
Dawn FM (Alternate World),The Weeknd,3
Day69: Graduation Day,6ix9ine,1
Deuces Remix,Chris Brown,3
Die Lit,Playboi Carti,2
Die With A Smile,"Lady Gaga, Bruno Mars",1
ESCAPE PLAN / MAFIA,Travis Scott,4
Echoes Of Silence (Original),The Weeknd,3
Eternal Atake,Lil Uzi Vert,1
Fearless (Taylor's Version),Taylor Swift,3
Flower Boy,"Tyler, The Creator",4
For The Throne (Music Inspired by the HBO Series Game of Thrones),Game of Thrones,3
GNX,Kendrick Lamar,8
"Ghungroo (From ""War"")","Vishal-Shekhar, Sanchit Balhara",2
Goblin,"Tyler, The Creator",3
Graduation,Kanye West,1
HARDSTONE PSYCHO,Don Toliver,4
HEROES & VILLAINS,Metro Boomin,8
HIGHEST IN THE ROOM,Travis Scott,1
Hands All Over,Maroon 5,1
Hard To Imagine The Neighbourhood Ever Changing,The Neighbourhood,1
Harleys In Hawaii,Katy Perry,2
Heaven Or Hell,Don Toliver,4
Her Loss,"Drake, 21 Savage",6
Hollywood's Bleeding,Post Malone,1
House Of Balloons (Original),The Weeknd,13
House Of Memories,Panic! At The Disco,1
How Deep Is Your Love,"Calvin Harris, Disciples",1
How To Save A Life,The Fray,1
Hurry Up Tomorrow,The Weeknd,63
I AM YOU,YNW Melly,1
IGOR,"Tyler, The Creator",3
Icarus Falls,ZAYN,1
If You're Reading This It's Too Late,Drake,2
Isolation,Kali Uchis,2
JACKBOYS,"JACKBOYS, Travis Scott",1
Just Wanna Rock,Lil Uzi Vert,2
Kiss Land,The Weeknd,10
La La La,"Naughty Boy, Sam Smith",3
Life of a DON,Don Toliver,6
Long Way Down,Tom Odell,1
Loose,Nelly Furtado,2
Love Sick (Deluxe),Don Toliver,11
Luv Is Rage 2,Lil Uzi Vert,6
Made In The A.M. (Deluxe Edition),One Direction,2
Mamacita (feat. Rich Homie Quan & Young Thug),Travis Scott,1
Melophobia,Cage The Elephant,2
Midnights (3am Edition),Taylor Swift,3
Midnights (The Til Dawn Edition),Taylor Swift,1
Music To Be Murdered By - Side B (Deluxe Edition),Eminem,1
My Beautiful Dark Twisted Fantasy,Kanye West,1
My World,Justin Bieber,3
My World 2.0,Justin Bieber,4
NOT ALL HEROES WEAR CAPES (Deluxe),"Metro Boomin, 21 Savage",1
Narrated For You,Alec Benjamin,2
Noid,"Tyler, The Creator",4
Nostalgia - EP,Chase Atlantic,2
Nothing Was The Same,Drake,1
Novacane,Frank Ocean,4
PARTYNEXTDOOR 4 (P4),PARTYNEXTDOOR,6
PRISM (Deluxe),Katy Perry,2
PTSD,G Herbo,3
Pink Friday (Complete Edition),Nicki Minaj,1
Pink Tape,Lil Uzi Vert,1
Playboi Carti,Playboi Carti,1
Purpose (Deluxe),Justin Bieber,1
RICK OWENS (feat. Ken Carson),"Ufo361, lucidbeatz",4
Race 2 (Original Motion Picture Soundtrack),Pritam,1
Rodeo,Travis Scott,6
SOS,SZA,13
SOS Deluxe: LANA,SZA,15
Speak Now (Deluxe Edition),Taylor Swift,2
Sports car,Tate McRae,5
Sremm 4 Life,Rae Sremmurd,1
Starboy,The Weeknd,16
Studying Abroad: Extended Stay,Masego,2
THE SCOTTS,"THE SCOTTS, Travis Scott, Kid Cudi",3
THE TORTURED POETS DEPARTMENT,Taylor Swift,4
Take Me Home (Expanded Edition),One Direction,1
TattleTales,6ix9ine,3
Taylor Swift,Taylor Swift,3
Teenage Dream,Katy Perry,16
Thank Me Later,Drake,5
The Life Of Pablo,Kanye West,3
The Melodic Blue,Baby Keem,4
The Melodic Blue (Deluxe),Baby Keem,25
Thursday (Original),The Weeknd,3
Timeless,"The Weeknd, Playboi Carti",2
Trilogy,The Weeknd,3
UTOPIA,Travis Scott,8
VULTURES 1,"¥$, Kanye West, Ty Dolla $ign",9
VULTURES 2,"¥$, Kanye West, Ty Dolla $ign",12
WASTELAND,Brent Faiyaz,4
WE DON'T TRUST YOU,"Future, Metro Boomin",1
Waking Up,OneRepublic,3
What A Time To Be Alive,"Drake, Future",4
Whole Lotta Red,Playboi Carti,1
Wildest Dreams,Majid Jordan,7
Without Warning,"21 Savage, Offset, Metro Boomin",1
a Gift & a Curse,Gunna,5
channel ORANGE,Frank Ocean,8
"good kid, m.A.A.d city (Deluxe)",Kendrick Lamar,2
i am > i was,21 Savage,3
reputation Stadium Tour Surprise Song Playlist,Taylor Swift,1
