Artist,Songs Listened To
21 Savage,12
6ix9ine,4
Alec Benjamin,2
André 3000,2
Arijit Singh,2
Baby Keem,44
Bad Bunny,1
Bastille,1
Ben Rector,4
Benny Dayal,1
Bootsy Collins,2
Brent Faiyaz,5
Bruno Mars,1
Cage The Elephant,2
Calvin Harris,1
Chance the Rapper,3
Chase Atlantic,2
Childish Gambino,4
Chris Brown,7
Chris Martin,1
Christina Aguilera,1
Daft Punk,5
Dahi,4
Daniel Caesar,5
Disciples,1
Don Toliver,35
Drake,29
Eminem,1
Fabolous,2
Frank Ocean,26
Future,8
G Herbo,3
Game of Thrones,3
Gunna,5
JACKBOYS,1
Jordan Mailata,8
Juice WRLD,3
Juicy J,2
Justin Bieber,16
Kacy Hill,4
Kali Uchis,6
Kanye West,29
Katy Perry,32
Kelly Clarkson,2
Ken Carson,8
Kendrick Lamar,24
Kid Cudi,3
Kodak Black,1
Kumaar,2
Lady Gaga,1
Lana Del Rey,4
Lil Uzi Vert,14
Lola Young,3
Majid Jordan,7
Maroon 5,1
Masego,2
Metro Boomin,11
Naughty Boy,3
Nelly Furtado,2
Nicki Minaj,1
Odetari,1
Offset,1
One Direction,3
OneRepublic,3
PARTYNEXTDOOR,6
Panic! At The Disco,1
Playboi Carti,11
Post Malone,1
Pritam,1
Pusha T,1
Rae Sremmurd,1
Rich Homie Quan,2
Rick Ross,2
SZA,51
Sam Smith,3
Shalmali Kholgade,1
Shilpa Rao,2
Sia,1
Swae Lee,1
T.I.,2
THE SCOTTS,3
Tate McRae,5
Taylor Swift,17
The Fray,1
The Neighbourhood,1
The Philly Specials,8
The Weeknd,234
Timbaland,2
TisaKorean,4
Tom Odell,1
Tommy Richman,4
Tory Lanez,19
Travis Scott,71
Trevor Spitta,4
Trippie Redd,4
Ty Dolla $ign,21
"Tyler, The Creator",28
Ufo361,4
Vishal-Shekhar,2
YNW Melly,1
Yoko Gold,4
Young Thug,6
ZAYN,2
Zachary Moon,4
lucidbeatz,4
¥$,21
